DateID,Date,Year,Month,MonthNo,DayOfWeek,DayOfWeekNo,isHoliday
1,2018-01-01,2018,January,1,Monday,2,0
2,2018-01-02,2018,January,1,Tuesday,3,0
3,2018-01-03,2018,January,1,Wednesday,4,0
4,2018-01-04,2018,January,1,Thursday,5,0
5,2018-01-05,2018,January,1,Friday,6,0
6,2018-01-06,2018,January,1,Saturday,7,0
7,2018-01-07,2018,January,1,Sunday,1,0
8,2018-01-08,2018,January,1,Monday,2,0
9,2018-01-09,2018,January,1,Tuesday,3,0
10,2018-01-10,2018,January,1,Wednesday,4,0
11,2018-01-11,2018,January,1,Thursday,5,0
12,2018-01-12,2018,January,1,Friday,6,0
13,2018-01-13,2018,January,1,Saturday,7,0
14,2018-01-14,2018,January,1,Sunday,1,0
15,2018-01-15,2018,January,1,Monday,2,0
16,2018-01-16,2018,January,1,Tuesday,3,0
17,2018-01-17,2018,January,1,Wednesday,4,0
18,2018-01-18,2018,January,1,Thursday,5,0
19,2018-01-19,2018,January,1,Friday,6,0
20,2018-01-20,2018,January,1,Saturday,7,0
21,2018-01-21,2018,January,1,Sunday,1,0
22,2018-01-22,2018,January,1,Monday,2,0
23,2018-01-23,2018,January,1,Tuesday,3,0
24,2018-01-24,2018,January,1,Wednesday,4,0
25,2018-01-25,2018,January,1,Thursday,5,0
26,2018-01-26,2018,January,1,Friday,6,0
27,2018-01-27,2018,January,1,Saturday,7,0
28,2018-01-28,2018,January,1,Sunday,1,0
29,2018-01-29,2018,January,1,Monday,2,0
30,2018-01-30,2018,January,1,Tuesday,3,0
31,2018-01-31,2018,January,1,Wednesday,4,0
32,2018-02-01,2018,February,2,Thursday,5,0
33,2018-02-02,2018,February,2,Friday,6,0
34,2018-02-03,2018,February,2,Saturday,7,0
35,2018-02-04,2018,February,2,Sunday,1,0
36,2018-02-05,2018,February,2,Monday,2,0
37,2018-02-06,2018,February,2,Tuesday,3,0
38,2018-02-07,2018,February,2,Wednesday,4,0
39,2018-02-08,2018,February,2,Thursday,5,0
40,2018-02-09,2018,February,2,Friday,6,0
41,2018-02-10,2018,February,2,Saturday,7,0
42,2018-02-11,2018,February,2,Sunday,1,0
43,2018-02-12,2018,February,2,Monday,2,0
44,2018-02-13,2018,February,2,Tuesday,3,0
45,2018-02-14,2018,February,2,Wednesday,4,0
46,2018-02-15,2018,February,2,Thursday,5,0
47,2018-02-16,2018,February,2,Friday,6,0
48,2018-02-17,2018,February,2,Saturday,7,0
49,2018-02-18,2018,February,2,Sunday,1,0
50,2018-02-19,2018,February,2,Monday,2,0
51,2018-02-20,2018,February,2,Tuesday,3,0
52,2018-02-21,2018,February,2,Wednesday,4,0
53,2018-02-22,2018,February,2,Thursday,5,0
54,2018-02-23,2018,February,2,Friday,6,0
55,2018-02-24,2018,February,2,Saturday,7,0
56,2018-02-25,2018,February,2,Sunday,1,0
57,2018-02-26,2018,February,2,Monday,2,0
58,2018-02-27,2018,February,2,Tuesday,3,0
59,2018-02-28,2018,February,2,Wednesday,4,0
60,2018-03-01,2018,March,3,Thursday,5,0
61,2018-03-02,2018,March,3,Friday,6,0
62,2018-03-03,2018,March,3,Saturday,7,0
63,2018-03-04,2018,March,3,Sunday,1,0
64,2018-03-05,2018,March,3,Monday,2,0
65,2018-03-06,2018,March,3,Tuesday,3,0
66,2018-03-07,2018,March,3,Wednesday,4,0
67,2018-03-08,2018,March,3,Thursday,5,0
68,2018-03-09,2018,March,3,Friday,6,0
69,2018-03-10,2018,March,3,Saturday,7,0
70,2018-03-11,2018,March,3,Sunday,1,0
71,2018-03-12,2018,March,3,Monday,2,0
72,2018-03-13,2018,March,3,Tuesday,3,0
73,2018-03-14,2018,March,3,Wednesday,4,0
74,2018-03-15,2018,March,3,Thursday,5,0
75,2018-03-16,2018,March,3,Friday,6,0
76,2018-03-17,2018,March,3,Saturday,7,0
77,2018-03-18,2018,March,3,Sunday,1,0
78,2018-03-19,2018,March,3,Monday,2,0
79,2018-03-20,2018,March,3,Tuesday,3,0
80,2018-03-21,2018,March,3,Wednesday,4,0
81,2018-03-22,2018,March,3,Thursday,5,0
82,2018-03-23,2018,March,3,Friday,6,0
83,2018-03-24,2018,March,3,Saturday,7,0
84,2018-03-25,2018,March,3,Sunday,1,0
85,2018-03-26,2018,March,3,Monday,2,0
86,2018-03-27,2018,March,3,Tuesday,3,0
87,2018-03-28,2018,March,3,Wednesday,4,0
88,2018-03-29,2018,March,3,Thursday,5,0
89,2018-03-30,2018,March,3,Friday,6,0
90,2018-03-31,2018,March,3,Saturday,7,0
91,2018-04-01,2018,April,4,Sunday,1,0
92,2018-04-02,2018,April,4,Monday,2,0
93,2018-04-03,2018,April,4,Tuesday,3,0
94,2018-04-04,2018,April,4,Wednesday,4,0
95,2018-04-05,2018,April,4,Thursday,5,0
96,2018-04-06,2018,April,4,Friday,6,0
97,2018-04-07,2018,April,4,Saturday,7,0
98,2018-04-08,2018,April,4,Sunday,1,0
99,2018-04-09,2018,April,4,Monday,2,0
100,2018-04-10,2018,April,4,Tuesday,3,0
101,2018-04-11,2018,April,4,Wednesday,4,0
102,2018-04-12,2018,April,4,Thursday,5,0
103,2018-04-13,2018,April,4,Friday,6,0
104,2018-04-14,2018,April,4,Saturday,7,0
105,2018-04-15,2018,April,4,Sunday,1,0
106,2018-04-16,2018,April,4,Monday,2,0
107,2018-04-17,2018,April,4,Tuesday,3,0
108,2018-04-18,2018,April,4,Wednesday,4,0
109,2018-04-19,2018,April,4,Thursday,5,0
110,2018-04-20,2018,April,4,Friday,6,0
111,2018-04-21,2018,April,4,Saturday,7,0
112,2018-04-22,2018,April,4,Sunday,1,0
113,2018-04-23,2018,April,4,Monday,2,0
114,2018-04-24,2018,April,4,Tuesday,3,0
115,2018-04-25,2018,April,4,Wednesday,4,0
116,2018-04-26,2018,April,4,Thursday,5,0
117,2018-04-27,2018,April,4,Friday,6,0
118,2018-04-28,2018,April,4,Saturday,7,0
119,2018-04-29,2018,April,4,Sunday,1,0
120,2018-04-30,2018,April,4,Monday,2,0
121,2018-05-01,2018,May,5,Tuesday,3,0
122,2018-05-02,2018,May,5,Wednesday,4,0
123,2018-05-03,2018,May,5,Thursday,5,0
124,2018-05-04,2018,May,5,Friday,6,0
125,2018-05-05,2018,May,5,Saturday,7,0
126,2018-05-06,2018,May,5,Sunday,1,0
127,2018-05-07,2018,May,5,Monday,2,0
128,2018-05-08,2018,May,5,Tuesday,3,0
129,2018-05-09,2018,May,5,Wednesday,4,0
130,2018-05-10,2018,May,5,Thursday,5,0
131,2018-05-11,2018,May,5,Friday,6,0
132,2018-05-12,2018,May,5,Saturday,7,0
133,2018-05-13,2018,May,5,Sunday,1,0
134,2018-05-14,2018,May,5,Monday,2,0
135,2018-05-15,2018,May,5,Tuesday,3,0
136,2018-05-16,2018,May,5,Wednesday,4,0
137,2018-05-17,2018,May,5,Thursday,5,0
138,2018-05-18,2018,May,5,Friday,6,0
139,2018-05-19,2018,May,5,Saturday,7,0
140,2018-05-20,2018,May,5,Sunday,1,0
141,2018-05-21,2018,May,5,Monday,2,0
142,2018-05-22,2018,May,5,Tuesday,3,0
143,2018-05-23,2018,May,5,Wednesday,4,0
144,2018-05-24,2018,May,5,Thursday,5,0
145,2018-05-25,2018,May,5,Friday,6,0
146,2018-05-26,2018,May,5,Saturday,7,0
147,2018-05-27,2018,May,5,Sunday,1,0
148,2018-05-28,2018,May,5,Monday,2,0
149,2018-05-29,2018,May,5,Tuesday,3,0
150,2018-05-30,2018,May,5,Wednesday,4,0
151,2018-05-31,2018,May,5,Thursday,5,0
152,2018-06-01,2018,June,6,Friday,6,0
153,2018-06-02,2018,June,6,Saturday,7,0
154,2018-06-03,2018,June,6,Sunday,1,0
155,2018-06-04,2018,June,6,Monday,2,0
156,2018-06-05,2018,June,6,Tuesday,3,0
157,2018-06-06,2018,June,6,Wednesday,4,0
158,2018-06-07,2018,June,6,Thursday,5,0
159,2018-06-08,2018,June,6,Friday,6,0
160,2018-06-09,2018,June,6,Saturday,7,0
161,2018-06-10,2018,June,6,Sunday,1,0
162,2018-06-11,2018,June,6,Monday,2,0
163,2018-06-12,2018,June,6,Tuesday,3,0
164,2018-06-13,2018,June,6,Wednesday,4,0
165,2018-06-14,2018,June,6,Thursday,5,0
166,2018-06-15,2018,June,6,Friday,6,0
167,2018-06-16,2018,June,6,Saturday,7,0
168,2018-06-17,2018,June,6,Sunday,1,0
169,2018-06-18,2018,June,6,Monday,2,0
170,2018-06-19,2018,June,6,Tuesday,3,0
171,2018-06-20,2018,June,6,Wednesday,4,0
172,2018-06-21,2018,June,6,Thursday,5,0
173,2018-06-22,2018,June,6,Friday,6,0
174,2018-06-23,2018,June,6,Saturday,7,0
175,2018-06-24,2018,June,6,Sunday,1,0
176,2018-06-25,2018,June,6,Monday,2,0
177,2018-06-26,2018,June,6,Tuesday,3,0
178,2018-06-27,2018,June,6,Wednesday,4,0
179,2018-06-28,2018,June,6,Thursday,5,0
180,2018-06-29,2018,June,6,Friday,6,0
181,2018-06-30,2018,June,6,Saturday,7,0
182,2018-07-01,2018,July,7,Sunday,1,0
183,2018-07-02,2018,July,7,Monday,2,0
184,2018-07-03,2018,July,7,Tuesday,3,0
185,2018-07-04,2018,July,7,Wednesday,4,0
186,2018-07-05,2018,July,7,Thursday,5,0
187,2018-07-06,2018,July,7,Friday,6,0
188,2018-07-07,2018,July,7,Saturday,7,0
189,2018-07-08,2018,July,7,Sunday,1,0
190,2018-07-09,2018,July,7,Monday,2,0
191,2018-07-10,2018,July,7,Tuesday,3,0
192,2018-07-11,2018,July,7,Wednesday,4,0
193,2018-07-12,2018,July,7,Thursday,5,0
194,2018-07-13,2018,July,7,Friday,6,0
195,2018-07-14,2018,July,7,Saturday,7,0
196,2018-07-15,2018,July,7,Sunday,1,0
197,2018-07-16,2018,July,7,Monday,2,0
198,2018-07-17,2018,July,7,Tuesday,3,0
199,2018-07-18,2018,July,7,Wednesday,4,0
200,2018-07-19,2018,July,7,Thursday,5,0
201,2018-07-20,2018,July,7,Friday,6,0
202,2018-07-21,2018,July,7,Saturday,7,0
203,2018-07-22,2018,July,7,Sunday,1,0
204,2018-07-23,2018,July,7,Monday,2,0
205,2018-07-24,2018,July,7,Tuesday,3,0
206,2018-07-25,2018,July,7,Wednesday,4,0
207,2018-07-26,2018,July,7,Thursday,5,0
208,2018-07-27,2018,July,7,Friday,6,0
209,2018-07-28,2018,July,7,Saturday,7,0
210,2018-07-29,2018,July,7,Sunday,1,0
211,2018-07-30,2018,July,7,Monday,2,0
212,2018-07-31,2018,July,7,Tuesday,3,0
213,2018-08-01,2018,August,8,Wednesday,4,0
214,2018-08-02,2018,August,8,Thursday,5,0
215,2018-08-03,2018,August,8,Friday,6,0
216,2018-08-04,2018,August,8,Saturday,7,0
217,2018-08-05,2018,August,8,Sunday,1,0
218,2018-08-06,2018,August,8,Monday,2,0
219,2018-08-07,2018,August,8,Tuesday,3,0
220,2018-08-08,2018,August,8,Wednesday,4,0
221,2018-08-09,2018,August,8,Thursday,5,0
222,2018-08-10,2018,August,8,Friday,6,0
223,2018-08-11,2018,August,8,Saturday,7,0
224,2018-08-12,2018,August,8,Sunday,1,0
225,2018-08-13,2018,August,8,Monday,2,0
